ID_ARTISTA,familia_sonora,proba_Dinamico,proba_Quente,proba_Brilhante,proba_Pulsante
14776,Dinamico & Contrastante,0.3434,0.1675,0.1645,0.3246
4201,Brilhante & Intenso,0.1837,0.2887,0.4003,0.1272
13089,Brilhante & Intenso,0.2101,0.2816,0.3664,0.1419
3739,Brilhante & Intenso,0.2009,0.2938,0.3858,0.1195
18784,Dinamico & Contrastante,0.3053,0.2724,0.2087,0.2136
1532,Pulsante & Sombrio,0.1982,0.2069,0.1504,0.4444
12109,Brilhante & Intenso,0.1662,0.3088,0.3872,0.1378
14951,Pulsante & Sombrio,0.1924,0.2975,0.1961,0.314
11620,Quente & Encorpado,0.199,0.3679,0.2066,0.2265
10885,Brilhante & Intenso,0.2047,0.2533,0.3697,0.1723
20442,Dinamico & Contrastante,0.3855,0.1802,0.2573,0.177
10317,Brilhante & Intenso,0.1938,0.2283,0.405,0.173
11103,Brilhante & Intenso,0.1835,0.2909,0.3854,0.1403
17846,Pulsante & Sombrio,0.2498,0.1882,0.1964,0.3657
21104,Quente & Encorpado,0.1576,0.4233,0.1726,0.2466
18890,Brilhante & Intenso,0.2165,0.2735,0.2977,0.2124
17722,Dinamico & Contrastante,0.4127,0.1621,0.1687,0.2564
12591,Brilhante & Intenso,0.2188,0.2729,0.2882,0.2201
4252,Brilhante & Intenso,0.2558,0.2277,0.405,0.1115
15293,Brilhante & Intenso,0.2279,0.2345,0.3648,0.1728
19345,Dinamico & Contrastante,0.386,0.2041,0.1938,0.2161
20511,Pulsante & Sombrio,0.2123,0.1885,0.1529,0.4463
12082,Dinamico & Contrastante,0.3898,0.1658,0.1919,0.2526
10329,Brilhante & Intenso,0.2516,0.2757,0.2908,0.1819
15100,Pulsante & Sombrio,0.1754,0.295,0.1815,0.3481
19609,Quente & Encorpado,0.2056,0.3893,0.2299,0.1753
2841,Brilhante & Intenso,0.268,0.2413,0.2943,0.1964
15302,Dinamico & Contrastante,0.3583,0.1621,0.1593,0.3203
10213,Brilhante & Intenso,0.1761,0.1718,0.562,0.0901
12139,Brilhante & Intenso,0.1657,0.2641,0.4652,0.105
15047,Quente & Encorpado,0.2231,0.2976,0.2041,0.2752
14764,Dinamico & Contrastante,0.3868,0.1835,0.2172,0.2125
11681,Dinamico & Contrastante,0.3517,0.1945,0.1569,0.297
17877,Pulsante & Sombrio,0.2091,0.1937,0.1184,0.4788
16693,Brilhante & Intenso,0.2038,0.1662,0.5205,0.1095
12003,Dinamico & Contrastante,0.3472,0.1934,0.2612,0.1981
15202,Dinamico & Contrastante,0.2753,0.2702,0.1885,0.2659
11815,Quente & Encorpado,0.1953,0.3631,0.2172,0.2244
12282,Dinamico & Contrastante,0.3716,0.1787,0.2363,0.2135
10782,Quente & Encorpado,0.1699,0.3416,0.332,0.1566
4293,Dinamico & Contrastante,0.407,0.1788,0.1705,0.2438
16902,Pulsante & Sombrio,0.1825,0.2686,0.1502,0.3987
17129,Brilhante & Intenso,0.1587,0.323,0.3393,0.179
11255,Dinamico & Contrastante,0.3566,0.2073,0.259,0.1771
15811,Brilhante & Intenso,0.257,0.2395,0.3854,0.1182
22454,Quente & Encorpado,0.1463,0.4871,0.1707,0.1959
16799,Brilhante & Intenso,0.1778,0.1922,0.5425,0.0876
3285,Quente & Encorpado,0.133,0.4262,0.3201,0.1207
11846,Brilhante & Intenso,0.2632,0.2353,0.3435,0.158
11435,Pulsante & Sombrio,0.1912,0.2597,0.1725,0.3766
13034,Pulsante & Sombrio,0.1672,0.2551,0.1556,0.4222
22582,Brilhante & Intenso,0.1593,0.2373,0.5079,0.0955
17933,Quente & Encorpado,0.1687,0.4251,0.1564,0.2497
16533,Dinamico & Contrastante,0.384,0.2019,0.2097,0.2044
