,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4
num__video_duration_sec,-0.00796771791235068,-0.0068417303514526915,0.004691947972586939,-0.00676862386109059
num__segment_start_sec,-0.008121514536909182,-0.007234536158882007,0.004368008265146068,-0.005570799572938873
num__segment_duration_sec,7.49069408919633e-18,-4.2634445929940823e-17,2.4672923975686723e-17,-3.05105872435526e-17
num__duration_sec,-0.008391146601206278,-0.0039213702693967085,0.0049125707897141055,-0.015374200577439691
num__sample_rate,-6.680451126856186e-18,-1.3579450476338539e-17,-6.717863276468782e-19,1.6895365630452715e-17
num__tempo_bpm,0.011206528677727215,-0.005160369075313573,-0.003875735841931306,0.0019707730231854
num__rms_mean,-0.0020857471912301916,0.0025972309765465856,-0.004248316974703754,0.007037004132618985
num__rms_std,-0.0025263106868536733,0.0004406116375659049,-0.000794379716185774,0.007489616059842327
num__zcr_mean,0.004201385532565316,-0.006595355364502986,0.00418589512002666,-0.03742345533430931
num__zcr_std,0.008029337597169433,-0.0012836640782975615,0.014324171738739679,-0.02100142910218125
num__spectral_centroid_mean,0.006322353836477577,-0.006406527431548836,0.003892879131866978,-0.03606571268098432
num__spectral_centroid_std,0.012898714682167465,0.00501534572917041,0.014342705669153698,-0.005274159273661905
num__spectral_bandwidth_mean,0.0061998742474193205,-0.005578033466582316,0.0021658043237689187,-0.02393276344874639
num__spectral_bandwidth_std,0.01312825941580916,0.009426139389302743,0.007218207956184788,0.02537393804872919
num__spectral_rolloff_mean,0.0045209675427203685,-0.006201895252954686,0.002027337036508176,-0.032180083393875826
num__spectral_rolloff_std,0.014011688644671904,0.007739188652018805,0.009904296665207365,0.014113821081884042
num__spectral_flatness_mean,-0.007954009674040615,-0.0027193982441783785,0.0014430400875327348,-0.011742786863106265
num__spectral_flatness_std,0.007228672088506748,-0.0003115458469649798,0.010296744275176238,-0.010003301949300226
num__mfcc_01_mean,0.0026509729169458146,-0.0017573886709724104,-0.006036594243930069,-0.013500010982172453
num__mfcc_02_mean,-0.003735289116893914,0.005164245772385987,-0.006968481460841859,0.03401757865801143
num__mfcc_03_mean,-0.0006793122835174366,0.0017613455582503289,0.004760366589884661,0.01969631343930633
num__mfcc_04_mean,-0.0025958359797551766,0.00033714840842590747,0.005997926341206395,-0.0030752075903087654
num__mfcc_05_mean,0.004528886261141019,-0.0010128993996280661,0.002574398741062949,0.014890604462229331
num__mfcc_06_mean,-0.0034722008278129674,0.00330368835504736,-0.0008665489927777609,0.007046363200305076
num__mfcc_07_mean,-2.2307049889874243e-05,-0.004790657474630484,0.00025436037573747924,0.015738819305310386
num__mfcc_08_mean,0.0009873695527090995,0.00689407025998074,0.00342291643447719,0.013508211880003609
num__mfcc_09_mean,-0.003709943408117744,-0.006304064825055683,-0.0009271892801108776,1.926119905594041e-05
num__mfcc_10_mean,0.00754392581409857,-0.006513782022106087,-0.0032938797919770195,0.015127443797763956
num__mfcc_11_mean,-0.009996099637411441,0.0004935260755698077,-0.005629350355574441,0.003362163536253571
num__mfcc_12_mean,-0.003777534850100768,-0.00867742844006996,-0.0015221775161063456,0.0008978814438811392
num__mfcc_13_mean,-0.006930065278068373,-0.005471756503053856,-0.003863100162669609,-0.0006565652978360447
num__chroma_01_mean,-0.002062141776368131,-0.008664739329212167,0.0016337773214599254,-0.0006736826845795381
num__chroma_02_mean,0.0031703616444408176,-0.0011769787151385278,-0.0006047797137129721,0.01236469058335436
num__chroma_03_mean,0.002740254405406863,-0.004568049113496899,-0.006086770136112909,0.011643421336820392
num__chroma_04_mean,0.007511542279190513,-0.004020598909976986,-0.005412904767199672,-0.0011010526163323106
num__chroma_05_mean,0.004004874489229984,-0.007718754903497077,-0.011026804508858318,-0.004977342038199917
num__chroma_06_mean,0.002911136663133477,-0.0021803414159777554,-0.0018844546274957945,0.000695743645249307
num__chroma_07_mean,0.004201898220504304,0.004346444134615127,-0.0007713479775511964,-0.002791529627964273
num__chroma_08_mean,0.002103583929120247,0.003226876926609556,-0.005242858851651573,-0.003996028324597981
num__chroma_09_mean,0.0035916592329588827,0.0012776083330814769,0.0006138674919066863,-0.009471868277538988
num__chroma_10_mean,0.006670890271954329,-0.005489737879001245,-0.0006188943183057499,-0.013154782182282476
num__chroma_11_mean,0.007865724464997741,-0.007795360689832725,0.007730854574862463,-0.02101572168699682
num__chroma_12_mean,0.0018050055110164819,-0.006994026225963149,0.004201092831740289,-0.020428721994589682
num__onset_strength_mean,0.0012052178760188902,-0.0012720554055769794,0.0007797555656737481,-0.010994157458141684
num__onset_strength_std,-0.00011051451052308863,0.004078847368825786,0.0012169391537979655,-0.006969546512774972
cat__ID_ARTISTA_10014,0.008649619447022217,0.02142330541717223,0.02813418528404575,0.11100641322197753
cat__ID_ARTISTA_10017,0.017560610120817128,0.016795696104608106,-0.28448416712802477,-0.05031468076910947
cat__ID_ARTISTA_10020,0.00960096007054807,0.1035025926940435,-0.0008802719580602896,-0.09591514546361422
cat__ID_ARTISTA_10034,0.01743302925269414,0.09868174673292654,0.018779417951813624,-0.15522124290386466
cat__ID_ARTISTA_10036,-0.03036201726948836,-0.05916591320923352,-0.027990435261683443,0.14859222315551796
cat__ID_ARTISTA_10039,-1.2757601223739488,0.2651536542444806,0.3633730351033778,-0.14673243816076612
cat__ID_ARTISTA_10042,-0.07907376269844517,0.08546402287079571,-0.10445099935149472,-0.1269398368515977
cat__ID_ARTISTA_10045,-0.034410769510283795,0.010779620257904101,-0.08796839449402147,0.048866171918736746
cat__ID_ARTISTA_10047,-0.02900333714922206,0.04153836553653059,-0.025467713644304307,-0.07434386062587145
cat__ID_ARTISTA_10048,-0.04927150854926612,0.013883491180371875,-0.004625272043185568,0.0351670366014702
cat__ID_ARTISTA_10050,-0.034402194279624994,0.006676193316529936,0.02291835832572147,-0.1934803531442445
