,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7,LDA_Component_8,LDA_Component_9,LDA_Component_10,LDA_Component_11,LDA_Component_12,LDA_Component_13,LDA_Component_14,LDA_Component_15,LDA_Component_16,LDA_Component_17,LDA_Component_18,LDA_Component_19,LDA_Component_20,LDA_Component_21,LDA_Component_22,LDA_Component_23,LDA_Component_24,LDA_Component_25,LDA_Component_26,LDA_Component_27,LDA_Component_28,LDA_Component_29,LDA_Component_30,LDA_Component_31,LDA_Component_32,LDA_Component_33,LDA_Component_34,LDA_Component_35
num__video_duration_sec,0.0004583728951831235,0.0007903726336759016,0.00030116201850725747,-0.0007659712788272708,5.0903933159482036e-05,0.002679337382476233,0.0016427752030435472,0.0015728808047268293,0.0010847299030065341,-0.0103392178943942,0.0013673903052699174,-0.008100488891540747,-0.011071137239646454,-0.00773935415151091,-0.004243553155185294,0.002629773128247994,-0.006954954365544218,0.002812402295959146,-0.003068580949548613,-0.004862819247144189,-0.007823439709988656,0.010054968582987255,-0.0004443142759428223,-0.003230784764804506,0.0016105098685880344,0.01247992793464037,0.003068225932599767,-0.008727006218403055,0.007277124172671379,-0.0012694312890725386,0.00578639384473512,0.0027823213465449693,0.008028613222405405,-0.007509231329852508,0.009088401658322965
num__segment_start_sec,8.075543600919914e-05,0.0010259032902854945,0.0003227454823743113,-0.0005734131189725662,0.00033335227876851975,0.0023470111350341097,0.0019422132715090877,0.0010535954190998883,0.001451266178306345,-0.009572381815085495,0.0007646937770672231,-0.007421752754270618,-0.011378336139694334,-0.007019414539280499,-0.0029051945686428323,0.0039659785155408385,-0.004349331537222566,0.0004279179195935694,-0.004373355869544303,-0.004801758085217538,-0.007467419315708881,0.011648733501864942,0.0009113592017948797,-0.0058725427700874085,-0.0011081119242603533,0.012828244734650067,0.003432007385565939,-0.009267822157139977,0.007140151985601275,-0.002577353818851691,0.006416414491187199,0.0018471846576003964,0.007993622506275763,-0.009197747620799848,0.008139434760098901
num__segment_duration_sec,-1.3685239926554474e-18,9.469994893489312e-18,8.263222395856407e-18,3.2117154792876093e-18,-4.920503991279455e-18,1.0847448207662545e-18,7.148613817709145e-18,9.944609990299115e-19,2.2763946494660844e-17,-1.0103552618072887e-17,-6.817605297460789e-17,-1.3114293229581656e-17,1.78006320537448e-17,-1.846562283780474e-17,-1.2840925986298716e-17,1.592971955586962e-17,4.577732529732411e-18,1.0147185688672072e-17,3.1210476383712417e-17,-9.730064873427935e-18,3.74894143254144e-18,-2.870202933004135e-17,2.0336272068769798e-18,1.7636074883784234e-17,-9.775735324787676e-18,3.586398719476921e-18,1.0306010086266653e-18,2.7021552851593503e-17,1.1831323024845161e-17,2.270844703510112e-17,-2.791700674087862e-17,7.716655722543921e-17,9.101429604166775e-18,3.590295771679535e-18,-6.2320490997092355e-18
num__duration_sec,-0.00046737707595072666,-0.0016095031281650708,0.002641586686596104,0.002352200714192947,-0.002607988067972706,-0.0005869232937177816,0.002601557496426651,0.0027989148373191394,0.0024377077555605073,-0.0008591967075253482,-0.007861547249284038,-2.5931950551285558e-05,0.0029437167594024947,0.0001020228209616511,-0.0032215595458549807,-0.002599034256346034,0.002722733781744581,-0.0026928114020476164,0.0005301289580731568,-0.008669726329078515,-0.0017678051690779852,-0.0005465385812959154,0.0009589348167459206,0.004060386802579168,-0.004534645787519487,0.0013693814079824057,-0.010327773414290179,-0.0017456751238240263,0.0004994358292244076,-0.002931417782445306,-0.0047584168868740695,0.0009039751486851419,-0.012134294948592125,0.008386841263909687,-0.010655999346279423
num__sample_rate,1.6210532999949978e-19,-3.471341897540453e-18,-2.9081846239600114e-18,-1.2409603802265653e-18,1.5850398426349603e-18,1.8788653600180456e-18,-1.7447841512593476e-18,-1.5711395630233473e-18,-1.1298029792550462e-17,4.080232839179319e-18,3.4574459423121364e-17,3.0396797153139797e-18,-1.7538913264960627e-18,1.1646428604746939e-17,1.4728527969390445e-19,-3.822260201025869e-18,1.3527388024434091e-18,-2.876076408177405e-18,-8.24559571313965e-18,1.6566756575410554e-18,2.7713125649611068e-18,1.1708656483159211e-17,-3.3652014543087292e-18,-1.0447244424514465e-17,1.3180997962013927e-18,3.5561837502170394e-18,-2.9335347019774185e-18,-1.414130904663237e-17,-2.8490271716114536e-18,-7.826006944836422e-18,1.517559010255708e-17,-3.582788075827932e-17,-4.8518213053298525e-18,-5.721528230228688e-18,4.695991694401254e-18
num__tempo_bpm,-0.0021033744504487654,-0.0007491774190426911,-0.0014097928863884158,-0.00047510465977774135,-0.0013045503969294472,-0.0017667908273250952,-0.0027554018252758036,0.0006745825773516259,0.0002215317969256026,-0.0010998911987719728,-0.005911298830659927,-0.006554448371334529,-0.0017342527548979058,-0.0012446203103330831,-0.012423254934266782,-0.005769871412137764,-0.012121933325084258,-0.0020781117425692454,0.00043966763755800767,-0.0017447400087990208,0.004425269674379465,0.0067695721352226445,0.0025381416846896794,0.008742744850705107,-0.007770976066796865,0.00027375831354441984,0.002704298535268613,0.00514130629236264,-0.014411629231639456,-0.005479652393702184,-0.0008956376885930117,-0.008014010792924405,-0.006001563001580127,-0.009720166823491899,-0.0008641233244363206
num__rms_mean,0.0003336948800301403,0.0033715759993808675,0.000954619058665942,-0.0009365067643755527,-0.005583761491823582,-0.000958757013541043,0.0012203254427506677,0.0019641199825136575,0.013823810424855469,0.004985461396576107,-0.012653425081281918,0.009378168120605402,-0.010093002103170738,0.015359156547147602,-0.004105473652961872,0.008620770306063412,-0.0032398712235651213,-0.005731549951712687,-0.004150328427813183,-0.011367431995669537,-0.0019044497302805432,0.006529707720464036,-0.004493537557523129,-0.0009912726686443234,0.0036770610467091146,-0.008736990555853976,-0.005420448637266997,-0.0012636789942954807,-0.004334276040555319,-0.009010209756772055,0.003142818850929416,-0.023225411493581715,-0.003216654997572573,-0.0038133636793589664,-0.0005441695716799839
num__rms_std,-0.00048075523014289576,0.002024809751916426,0.00015334960418821278,-0.0026341973115797442,-0.009311227587389802,-0.002339277429502177,0.0005583053666628022,0.001004086855041189,0.009331950638109777,0.0011976280910740203,-0.0052732235405434985,0.003667162404828181,-0.016663879764798557,0.0006331800682516631,-0.001333379566791748,0.0028078295117153437,-0.006919056982036685,-0.0008972700567436404,-0.005175310664018226,-0.007894219968536696,-0.0032603257416752725,-0.0011519564433913473,-0.007804373898139845,-0.0041824237845447315,0.006260820601998722,-0.00044591028898461385,-0.0008824182045733637,-0.007545840485429011,-0.0055699282677932754,-0.011923266952096258,0.014114065734327623,-0.01043267837530018,-0.006603774422845483,0.012467235773231848,0.006969802145133128
num__zcr_mean,0.0004386775355708314,0.00429102044663899,-0.00028917233901939326,-0.00035068488686460896,-0.0007421482279182121,-0.0013619138420975735,0.0006289913278187758,-0.0009517245414695115,0.011048614603278275,0.00011252820794338195,-0.01593849722901356,0.006636281623423616,-0.02809593521435717,0.0068386593467149115,0.026021007001365126,-0.004312721323704966,-0.013429868734641817,-0.0054376154005725055,0.015760807941178293,-0.008541878924001624,-0.00854442374330841,0.01832659469731919,0.004347688156324901,0.0004483815665794219,0.006534021353203786,-0.012189093731922312,0.007812743412567835,-0.0036430251003312444,0.002762693374978317,-0.005440898147214485,-0.009547433832858627,-0.0001423171973563507,-0.005926082437798499,-0.00974117492689311,-0.009939654962112313
num__zcr_std,-0.0008503599008015629,0.0016435913730594904,-0.0014993487163264105,-0.0016125522394719765,-0.005715609315492637,-0.00039324495749913597,0.0003681572410984367,-0.0031226375765286258,0.001111302256758776,-0.0018157736273838533,-0.014774665917900193,0.0022660728261333094,-0.02328488368687273,-0.007259642821383178,0.023460442430763187,-0.008050600564867241,-0.01309048540031675,0.0001418434739661863,-0.0025447642640610106,0.0009611081565488209,-0.012686479222588913,0.004914251394015507,-0.0021731662978530775,0.0024744880105209066,0.01010204198335973,-0.007296399436289473,0.0024009188532807084,-0.0016295717076191085,-0.0007370287741389777,-0.00934114174651925,0.0013701698555439528,0.0018708688018937397,-0.006221858983143283,0.0205118651659232,0.0006050013440448622
