artist_key,artist_name,ID_ARTISTA,estilo,formacao,cidade,uf,valor_oferta,nota,qtd_avaliacoes,n_registros_groova,n_urls_midia,has_showlivre_url,has_youtube_url,priority_media_url,priority_media_type,all_media_urls,query_showlivre,query_youtube,query_youtube_url,match_status,matched_video_url,matched_video_title,matched_channel,audio_source_type,video_platform,video_id,video_url_final,video_title,video_channel,video_duration_sec,video_upload_date,audio_download_status,audio_file_path,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std,embedding_model,embedding_path,embedding_dim,genre_tag_pred,mood_tag_pred,voice_probability,instrumental_probability,quality_flag,notes,dataset_youtube_url,dataset_other_media_url,audio_source_url,audio_source_origin,audio_confidence,audio_match_status,showlivre_match_status,showlivre_match_error,showlivre_match_score,yt_dlp_status,yt_dlp_error,yt_dlp_extractor,yt_dlp_raw_info_json,audio_semantic_score,audio_semantic_match,audio_semantic_title_hits,audio_semantic_channel_hits,audio_semantic_phrase_in_title,audio_semantic_phrase_in_channel,audio_semantic_title_ratio,audio_semantic_channel_ratio,audio_semantic_risk_terms,audio_semantic_good_terms,audio_recommender_score,audio_recommender_quality,audio_recommender_risk_terms,audio_recommender_good_terms,audio_processing_status,audio_processing_error,audio_temp_cleanup_status,audio_temp_file_used,feature_extraction_status,feature_extraction_error,audio_download_error,segment_n_used,segment_duration_sec,segment_start_times,feature_sampling_mode,audio_total_duration_sec
criole show,Criole  Show,15195,Samba,Banda,São Paulo,SP,,10.8333,,2,29,0,1,https://youtu.be/-Fiip7pC8DA,youtube,https://youtu.be/-Fiip7pC8DA | https://youtu.be/11PIaRRhbSg | https://youtu.be/3IiAOEv5ofg | https://youtu.be/5Auja-xh7_I | https://youtu.be/Ch44pc3wWe0 | https://youtu.be/e2Ypj01rTAs | https://youtu.be/GBRpXkRiIhU | https://youtu.be/h3jgh5C04JY | https://youtu.be/KjnMwmCaMHg | https://youtu.be/lzhnDmx0cUM | https://youtu.be/MpHuhwJ0Aao | https://youtu.be/mWZeING8Koo | https://youtu.be/q1lx70Hg_wA | https://youtu.be/qUv76njLzBA | https://youtu.be/rC3E3JZsrew | https://youtu.be/rqvqAd45Y7E | https://youtu.be/sI29QZjQPq8 | https://youtu.be/v1CI4vuYjQA | https://youtu.be/WzK4TszH5i4 | https://youtu.be/WzK4TszH5i4 ( Criolé Show no Programa da Ana Braga ) | https://youtu.be/xIVqMNbUvSA | https://youtu.be/yiIO3QfsFL8 | https://youtu.be/ZpVfeyU8ZAE | https://youtu.be/ZyspvBqm-go | https://youtube.com/shorts/-Fiip7pC8DA?feature=share | https://youtube.com/shorts/4wGAbGG4R_o?feature=share | https://youtube.com/shorts/58adMMzjKIs?feature=share | https://youtube.com/shorts/sI29QZjQPq8?feature=share | https://youtube.com/shorts/v1CI4vuYjQA?feature=share,site:showlivre.com Criole  Show,Criole  Show showlivre,https://www.youtube.com/results?search_query=Criole%20%20Show%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/-Fiip7pC8DA,,https://youtu.be/-Fiip7pC8DA,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
samuel ninaut,Samuel Ninaut,15378,Pagode,Solo,Brasília,DF,,12.5,,1,25,0,1,https://youtu.be/7qpbgLjT8w0,youtube,https://www.instagram.com/p/CiiYJLspiGf/ | https://www.instagram.com/p/CkgbXp5g_Yu/ | https://www.instagram.com/p/CkzRZl5ps-k/ | https://www.instagram.com/p/Cl66264JeNb/ | https://www.instagram.com/p/CmIAkDEJCck/ | https://www.instagram.com/p/CplIkkUJHQK/ | https://www.instagram.com/reel/B_Dt6OkF3dF/ | https://www.instagram.com/reel/B-5XiDXnVoo/ | https://www.instagram.com/reel/CCJUdy3nkJf/ | https://www.instagram.com/reel/CCo-JLRnIw-/ | https://www.instagram.com/reel/CDJ0MK1HvUT/ | https://www.instagram.com/reel/CF4t09sH7HI/ | https://www.instagram.com/reel/CFQUCYwnm1R/ | https://www.instagram.com/reel/CFsLouOnNWY/ | https://www.instagram.com/reel/CFwvCQ7Jn-Y/ | https://www.instagram.com/reel/Cg7rgKEpQBk/ | https://www.instagram.com/reel/CGIJRC8Homg/ | https://www.instagram.com/reel/CgQCezgJama/ | https://www.instagram.com/reel/CIgk4h2nedx/ | https://www.instagram.com/reel/CJY25_znnOR/ | https://www.instagram.com/reel/CWhZPReD8cX/ | https://youtu.be/7qpbgLjT8w0 | https://youtu.be/lUBp_hmgA7U | https://youtu.be/N4Q0o53aia4 | https://youtu.be/WkwFur7ynI4,site:showlivre.com Samuel Ninaut,Samuel Ninaut showlivre,https://www.youtube.com/results?search_query=Samuel%20Ninaut%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/7qpbgLjT8w0,https://www.instagram.com/p/CiiYJLspiGf/,https://youtu.be/7qpbgLjT8w0,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
gutto maia trio voz violao,GUTTO MAIA TRIO & VOZ VIOLÃO,3058,Ritmos Variados,Trio,São Paulo,SP,,12.8198,,1,21,0,1,https://www.youtube.com/shorts/OHgwqT8IjxE,youtube,https://www.youtube.com/shorts/OHgwqT8IjxE | https://www.youtube.com/shorts/Pw6h8PbgODE | https://www.youtube.com/watch?v=_aIPJPDPoDA | https://www.youtube.com/watch?v=2Qe0llMWvYo | https://www.youtube.com/watch?v=6gz_V6-vmg8 | https://www.youtube.com/watch?v=DCdjDP-7j84 | https://www.youtube.com/watch?v=HeybiVXKDf8 | https://www.youtube.com/watch?v=L-AvAP0FPCs | https://www.youtube.com/watch?v=Qt3e_zOYY64 | https://www.youtube.com/watch?v=R4PLsrYuJh8 | https://www.youtube.com/watch?v=zygV19kBtbA | https://youtu.be/_IZ-QRjB6nU | https://youtu.be/4p-2I1CBmsc | https://youtu.be/Bo9hVfu23N0 | https://youtu.be/gHBPhzSMgnU | https://youtu.be/GlnAy3Lv3GY | https://youtu.be/h5GashXkHi4 | https://youtu.be/Pwn3QLyGDiY | https://youtu.be/qfOUSgwmrGQ | https://youtu.be/S0QpNY2JeiU | https://youtu.be/ur-jpjR74tY,site:showlivre.com GUTTO MAIA TRIO & VOZ VIOLÃO,GUTTO MAIA TRIO & VOZ VIOLÃO showlivre,https://www.youtube.com/results?search_query=GUTTO%20MAIA%20TRIO%20%26%20VOZ%20VIOL%C3%83O%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/shorts/OHgwqT8IjxE,,https://www.youtube.com/shorts/OHgwqT8IjxE,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
gutto maia banda,GUTTO MAIA & BANDA,3722,Ritmos Variados,Banda,São Paulo,SP,,13.3346,,1,20,0,1,https://youtu.be/7mDyyqTAKGg,youtube,https://youtu.be/7mDyyqTAKGg | https://youtu.be/bd4FJJjIDD8 | https://youtu.be/d5xNMqPKI8Y | https://youtu.be/dDeAy4wYQ04 | https://youtu.be/DOordzWwxBs | https://youtu.be/dZYACRE8Cc0 | https://youtu.be/EHdTAlua8hM | https://youtu.be/FOYmEfzUoaE | https://youtu.be/JNykygKsDW4 | https://youtu.be/MHI5MxonxaA | https://youtu.be/mHSX4fdcK6g | https://youtu.be/oF4mkwq_AEw | https://youtu.be/qoDJMll-RUA | https://youtu.be/uoMjiaQsAOY | https://youtube.com/shorts/590oqCgc0P0 | https://youtube.com/shorts/7-5hbY7q6pM?feature=share | https://youtube.com/shorts/7krJxLkGyao?feature=share | https://youtube.com/shorts/BdjBZp2eSgI?feature=share 17:52 | https://youtube.com/shorts/eBqdgsiIyEI?feature=share | https://youtube.com/shorts/y7O8ADSnuV4?feature=share,site:showlivre.com GUTTO MAIA & BANDA,GUTTO MAIA & BANDA showlivre,https://www.youtube.com/results?search_query=GUTTO%20MAIA%20%26%20BANDA%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/7mDyyqTAKGg,,https://youtu.be/7mDyyqTAKGg,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
allan piter,Allan Piter,10232,Pop,Trio,Limeira,SP,,12.5,,1,19,0,1,https://youtu.be/-1MKn-ZSHu0,youtube,https://youtu.be/-1MKn-ZSHu0 | https://youtu.be/-tpi1y20OOs | https://youtu.be/2bWVD4PsDXY | https://youtu.be/AhvRb49KHQE | https://youtu.be/cQRttxXiAsY | https://youtu.be/CxmVxgJKpDI | https://youtu.be/dKHmnTCgTpo | https://youtu.be/EBvKvsN6ehY | https://youtu.be/gujQ3-kDGg8 | https://youtu.be/H7uPpAE_Euc | https://youtu.be/Hm64QOzWOaA | https://youtu.be/Ix-67K_ualY | https://youtu.be/kIMXSDOomu8 | https://youtu.be/NLAeC9CKzJo | https://youtu.be/NXVnX_9iLU8 | https://youtu.be/p5srTk4K_lY | https://youtu.be/PaTVt0zFHsI | https://youtu.be/tS5gVPgbthU | https://youtu.be/UrhbsEAlP-k,site:showlivre.com Allan Piter,Allan Piter showlivre,https://www.youtube.com/results?search_query=Allan%20Piter%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/-1MKn-ZSHu0,,https://youtu.be/-1MKn-ZSHu0,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
banda faixa bonus,Banda Faixa Bônus,12584,Banda Baile,Banda,Cariacica,ES,,12.5008,,2,19,0,1,https://youtu.be/_vy7cosOT9I,youtube,https://youtu.be/_vy7cosOT9I | https://youtu.be/abLd_W8OLZo | https://youtu.be/C-4qoaWBDv8 | https://youtu.be/EIJwNXaaNs0 | https://youtu.be/eLuiIyPeZKc | https://youtu.be/EOBbDgxvJ98 | https://youtu.be/frvBGCmoQ0g | https://youtu.be/H35O4HZKLec | https://youtu.be/HSLYsYTHQCI | https://youtu.be/Id3WXvlLbv8 | https://youtu.be/j34Fp4lLd8E | https://youtu.be/kPn2SjyZQNY | https://youtu.be/MfOSC6m__pg | https://youtu.be/p9vDBfywmu8 | https://youtu.be/PDE0jfBkmpI | https://youtu.be/pjYjZ_pBbX8 | https://youtu.be/Tc3ieaI_u8M | https://youtu.be/weBva7kT990 | https://youtu.be/xxlkgllOITo,site:showlivre.com Banda Faixa Bônus,Banda Faixa Bônus showlivre,https://www.youtube.com/results?search_query=Banda%20Faixa%20B%C3%B4nus%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/_vy7cosOT9I,,https://youtu.be/_vy7cosOT9I,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
barruti pianista,Barruti Pianista,11239,Ritmos Variados,Solo,Fortaleza,CE,,12.5,,1,19,0,1,https://youtu.be/_lm6socgmMc,youtube,https://youtu.be/_lm6socgmMc | https://youtu.be/-bi7jWbajgA | https://youtu.be/1c9l6OP3fHw | https://youtu.be/1iCjdEVKkbg | https://youtu.be/9QS64-6bhNY | https://youtu.be/ahadRw2H0Fw | https://youtu.be/Ap6VXMYEQ4Q | https://youtu.be/DU4aef9x244 | https://youtu.be/eX8AwTLOZdM | https://youtu.be/JDNEWUcwzhQ | https://youtu.be/jpCYNk3A0Dc | https://youtu.be/jTktsR-kgQ0 | https://youtu.be/LmNH4jJ4A1k | https://youtu.be/mi0Jqppn91U | https://youtu.be/mVT6d3lqh90 | https://youtu.be/PzWW1hEYbPs | https://youtu.be/UVmqiy5jqJ8 | https://youtu.be/Wmm9LmTp-Uk | https://youtu.be/yVrIgpF3Jfo,site:showlivre.com Barruti Pianista,Barruti Pianista showlivre,https://www.youtube.com/results?search_query=Barruti%20Pianista%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/_lm6socgmMc,,https://youtu.be/_lm6socgmMc,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
matheus madrid,Matheus Madrid,10579,Ritmos Variados,Solo,Porto Alegre,RS,,12.5024,,1,19,0,1,https://youtu.be/_HwW9jdyp0g,youtube,https://youtu.be/_HwW9jdyp0g | https://youtu.be/25q8cVKpTeQ | https://youtu.be/2Bop62R_Q98 | https://youtu.be/3fTBS27rLsM | https://youtu.be/3i6amv9cRBc | https://youtu.be/8jBmGfaw3ac | https://youtu.be/eOEv7pzb9io | https://youtu.be/fwFtOlHQHmU | https://youtu.be/IEfq9ZggZ-Q | https://youtu.be/IyLWv6tSoag | https://youtu.be/KhiHI9JOrD4 | https://youtu.be/m5pnlCm-zZ0 | https://youtu.be/ShxqpeNWwpY | https://youtu.be/TDzagY4j4RA | https://youtu.be/TSlJ6TMGH_E | https://youtu.be/VpJpxmVlfa4 | https://youtu.be/WANpjoad588 | https://youtu.be/XSjmKz7aa2k | https://youtu.be/ziv8bDmBrNc,site:showlivre.com Matheus Madrid,Matheus Madrid showlivre,https://www.youtube.com/results?search_query=Matheus%20Madrid%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/_HwW9jdyp0g,,https://youtu.be/_HwW9jdyp0g,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
banda firebird,Banda Firebird,9828,Pop Rock,Banda,São Paulo,SP,,12.5016,,1,18,0,1,https://youtu.be/0r5YJSCxGeo,youtube,https://youtu.be/0r5YJSCxGeo | https://youtu.be/3JDFb0kbH3g | https://youtu.be/5zcngoBNuSo | https://youtu.be/dnrcCnxWOLo | https://youtu.be/eoz_6Kml3Vs | https://youtu.be/JHNWUcaP7fM | https://youtu.be/kN9yBM0VWqw | https://youtu.be/lqa0aui4hWk | https://youtu.be/LSB0qSgz-Ck | https://youtu.be/r5C74qvb37g | https://youtu.be/S_kuY3cL-o8 | https://youtu.be/Sntgf6LzE2k | https://youtu.be/U42xQ5HHCqc | https://youtu.be/v_OZ0ipJ1Po | https://youtu.be/vnlvSf5a0Yw | https://youtu.be/x2ePV4I-9EI | https://youtu.be/YZ-VWemO4Vc | https://youtu.be/ZTCGBpY-x6I,site:showlivre.com Banda Firebird,Banda Firebird showlivre,https://www.youtube.com/results?search_query=Banda%20Firebird%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/0r5YJSCxGeo,,https://youtu.be/0r5YJSCxGeo,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
pagonejo,Pagonejo,12999,Pagode,Solo,São Paulo,SP,,10.8333,,1,18,0,1,https://youtu.be/0JrJTsImMKM,youtube,https://youtu.be/0JrJTsImMKM | https://youtu.be/3_MlNNRMV-k | https://youtu.be/3NjRiprWFjQ | https://youtu.be/C-bp5fC7CXY | https://youtu.be/EIAb0tWKCvg | https://youtu.be/eVSIU6t9U6s | https://youtu.be/ezQktFzT1H8 | https://youtu.be/fdKowt_H01Y | https://youtu.be/g6s3EW7vl8c | https://youtu.be/Kt85vy9wj-g | https://youtu.be/kVQ4isWi5xk | https://youtu.be/LntK-PF4fYw | https://youtu.be/MKjNUBkGjHo | https://youtu.be/qWK3ThShrzI | https://youtu.be/TSveUVSAyMQ | https://youtu.be/v-uwuqzaHVs | https://youtu.be/wJy2s2WZLg8 | https://youtu.be/xLyzUyeDuWI,site:showlivre.com Pagonejo,Pagonejo showlivre,https://www.youtube.com/results?search_query=Pagonejo%20showlivre,pending,,,,youtube,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/0JrJTsImMKM,,https://youtu.be/0JrJTsImMKM,youtube_dataset,0.7,ok,pending,,,error,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
