,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7
num__video_duration_sec,-0.006109488836085356,0.0070716972682877185,-0.003769899627520277,0.001130850941288854,-0.02482114010645073,0.01671882285913563,-0.010446128226064942
num__segment_start_sec,-0.005874324858035235,0.011468827974254121,-0.00397923994284353,-0.0005083024782459261,-0.023018482736154137,0.013944810268960403,-0.003288423565316613
num__segment_duration_sec,-4.082595106154587e-18,5.101200684660969e-18,7.260091999051867e-18,1.7503414069909046e-18,1.518471116915816e-17,1.0121706298434095e-17,-1.324482097736455e-18
num__duration_sec,-0.005831407086897077,-0.007667319724892265,-0.006158813742852013,-0.010229702195833726,-0.0006060382745036437,-0.006099582022846298,0.003930249468014032
num__sample_rate,-9.0101099866882e-18,-1.8563425871004713e-18,-8.968676844426878e-18,5.987183148228029e-18,1.3993365400801048e-17,1.4468197686993822e-17,2.571094327052254e-17
num__tempo_bpm,0.001921419604611735,0.0006611514794542736,0.00016529380357972832,-0.0064846028769633985,-0.0014097386984013617,0.007442747432998131,-0.00898032417604724
num__rms_mean,-0.010230173101360358,-0.0064712149918325695,-0.035597102274186956,-0.027986199126240115,0.03510529717675052,0.007537271321401782,-0.0029940162236649485
num__rms_std,-0.007690227198808901,-0.007966107793861501,-0.027859325241965015,-0.02061242900640804,0.021502790222488015,0.028865601407500975,0.005845255768096147
num__zcr_mean,-0.0017273020150478102,-0.01181695711978693,-0.041821049038292105,-0.005593633591871156,-0.01955847145556874,-0.0002588985735733291,-0.013288862583124346
num__zcr_std,0.006198543299414739,-0.011203818197052653,-0.02162829215614702,0.010893948479840421,-0.01109227990262323,0.0219220321430925,-0.0015248239303969758
num__spectral_centroid_mean,-0.005410706204174419,-0.009681724643708669,-0.05320583136344893,-0.011995751165791345,-0.01137019615803545,0.010293886171607898,-0.010798274389398944
num__spectral_centroid_std,0.0047267120100863026,-0.00934389384646158,-0.01414928633824682,0.014991759752413646,-0.004659757595663295,0.03290989080632053,0.00599339785402514
num__spectral_bandwidth_mean,-0.007687663171590924,-0.0012759983074453578,-0.04779848446927726,-0.0180994420087561,0.004208336668046591,0.014229118060007548,-0.0058204888507109795
